id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
2	australia	0.6234	-0.1042	1	2	2	8	116	8.1768	2021.375	14.5	1.0221
5	brazil	0.9403	0.5366	5	1	2	14	141	20.0161	2022.5	10.0714	1.4297
8	china	-0.3055	0.0632	4	10	55	191	2398	221.8729	2022.288	12.555	1.1616
11	egypt	0.3046	0.0492	1	5	8	5	56	4.2654	2022.2	11.2	0.8531
14	france	0.8887	-0.1901	1	2	2	8	81	4.758	2021.375	10.125	0.5948
15	germany	0.0245	0.4574	4	2	5	6	142	7.8004	2021.8333	23.6667	1.3001
16	hong kong	-0.443	-0.2743	3	4	14	12	256	20.4017	2022.25	21.3333	1.7001
17	india	0.2028	0.3754	4	4	6	22	278	19.4532	2021.9545	12.6364	0.8842
19	iran	0.8223	-0.0578	1	2	5	31	427	35.5516	2021.8065	13.7742	1.1468
20	iraq	-1.3179	0.0801	2	1	2	6	32	2.988	2022.6667	5.3333	0.498
22	italy	0.9207	-0.1861	1	2	2	8	59	11.0522	2022.875	7.375	1.3815
27	malaysia	-1.2153	0.0713	2	5	7	6	54	3.7192	2022	9	0.6199
32	pakistan	-0.8564	-0.0142	2	7	10	8	80	10.5241	2022.875	10	1.3155
37	saudi arabia	-0.6134	0.0787	2	5	6	5	40	3.2557	2022.8	8	0.6511
42	spain	-1.145	0.0406	2	3	3	6	17	0.7926	2022.1667	2.8333	0.1321
45	turkey	-0.0446	-0.5333	3	1	1	6	50	4.785	2022.1667	8.3333	0.7975
47	united kingdom	-0.0327	-0.4274	3	5	11	9	69	11.881	2022.5556	7.6667	1.3201
48	united states	0.5108	0.2	5	9	41	69	681	60.7831	2022.3913	9.8696	0.8809
49	viet nam	0.7356	-0.165	1	4	4	9	104	7.3603	2021.8889	11.5556	0.8178
